repo	sha	label	fp_class	klass	added_loc	base_loc	note
Harsha-Bhattacharyya/auh	top	FP	idiom		src/main.cpp (within-file)		Small CLI: repeated arg/option-handling blocks (0.17-0.40). Boilerplate, low similarity.
HendrikGC02/Astroray	5d290120d39a	FP	other		include/astroray/sampling/wavefront_rng_device.h:38-149		Although this IS a real duplicate (counted in confirmed), for triage purposes it is the CPU/GPU mirror class of intentional duplication: the two PCG32 implementations are REQUIRED to stay bit-identical (the project's two-tier gate compares CPU vs GPU RNG streams). Flagging it as actionable copy-paste would push the author to deduplicate two files that must not drift, which is the wrong call.
HendrikGC02/Astroray	8df924e19a2b	FP	idiom		plugins/metrics/schwarzschild.cpp:9-50		SchwarzschildMetricPlugin shares the Metric-interface override surface (christoffel/inner_product/geodesic_rhs/event_horizon_radius/...) with the sibling KerrMetric class, so a token detector keying on the identical override signature list flags them as a clone. In reality schwarzschild is NOT copied code: it is a thin delegating adapter that constructs a kerr_ with a=0 and forwards every call (kerr_->christoffel(...)). The duplicated tokens are the pure-virtual override signatures mandated by the Metric ABC, not duplicated logic.
HendrikGC02/Astroray	5d290120d39a	TP		cross-file-chunk	include/astroray/sampling/wavefront_rng_device.h:38-149		CUDA __device__ PCG32 port — 51/53 core arithmetic lines byte-identical to CPU include/astroray/sampling/wavefront_rng.h; only WF_RNG_HD macro + #ifdef __CUDACC__ branches differ. Author documents it as a 'byte-identical mirror'.
HendrikGC02/Astroray	308a0e41d9fd	TP		cross-file-chunk	plugins/integrators/caustic_path_tracer.cpp + multiwavelength_path_tracer.cpp + neural_cache.cpp (setMaxDepth)		Identical setMaxDepth(int) override body copy-pasted verbatim into 3 integrator plugins in one commit. Small (interface-override idiom) but genuine triple copy.
HendrikGC02/Astroray	69f17178a05a	TP		cross-file-chunk	plugins/passes/sample_heatmap.cpp:24-52		SampleHeatmap pass cloned from BounceHeatmap (created one commit earlier, 7b91417): same includes/ctor/name() override/execute() skeleton (max-scan loop + normalize + color[i*3..] write); diverges only in the colour ramp + log1p scaling. partial-edited clone.
ImagingTools/Acf	b24d5cc42112	FP	idiom		Include/i3d/CSphere.cpp:25-37		The Acf IArchive serialization idiom (retVal = retVal && archive.BeginTag(t); retVal = retVal && member.Serialize(archive); retVal = retVal && archive.EndTag(t); repeated per field) makes every Serialize() body across unrelated classes near-identical after id-normalization. A token detector with selective normalization scores CSphere/CBox3d/CPlane3d Serialize as cross-file near-dupes though they are independent per-class serialization, not refactorable duplication.
ImagingTools/Acf	84353dbe7f90	FP	data-table		Include/ifile/Test/CFileSecureArchiveTest.cpp:72-300		Parametric unit-test methods share an arrange-act-assert scaffold (temp file setup, scoped write/read, verify, cleanup) by design; each tests a different model/type. Detector flags them as within-file clones although merging them would only obscure intent. Same applies to TMatrixTest Addition/Subtraction.
ImagingTools/Acf	f8440296da68	FP	header-impl		Tests/ImodTest/CModelBaseTest.cpp		AI-generated test pairs (CModelBaseTest.cpp/.h, CModelProxyTest.cpp/.h, etc.) carry parallel method declarations in .h mirrored by stubbed bodies in .cpp plus identical Q_OBJECT/QtTest boilerplate (initTestCase/cleanupTestCase) repeated across every test class header, inflating cross-file similarity.
ImagingTools/Acf	b24d5cc42112	TP		cross-file-chunk	Include/i3d/CBox3d.cpp:34-47		i3d primitive Serialize() bodies copy-pasted across CBox3d/CPlane3d/CLine3d/CSphere/CQuaternion3d in one commit; identical BeginTag/member.Serialize/EndTag pairs, only tag and member names renamed (also an idiom, but here a literal new-file clone series)
ImagingTools/Acf	84353dbe7f90	TP		within-file-chunk	Include/ifile/Test/CFileSecureArchiveTest.cpp:72-300		AI test scaffold cloned per method: QTemporaryFile open + write-block + read-block + verify + QFile::remove skeleton copy-pasted across BasicSecureSerializationTest/PrimitiveTypesSecureTest/StringSecureSerializationTest, only literals/model type changed
ImagingTools/Acf	109881dc9db0	TP		within-file-chunk	Include/imath/Test/TMatrixTest.cpp:166-214		AdditionTest and SubtractionTest structurally identical: same 2x2 matrix arrange skeleton, differ only in literal values and one call (GetAdded vs GetSubstracted)
ImagingTools/AcfSln	28335c8cbbb3	FP	header-impl		Include/i*/C*Comp.cpp (cross-file, e.g. CSimpleLoginComp	>CUsersManagerComp, CPerspectiveCalibrationShape<->CGeneralCalibrationShape)	Acf is a component framework where every component .cpp implements the same NVI lifecycle skeleton (OnComponentCreated/OnComponentDestroyed/OnSelectionChanged, model attach/detach, RegisterModel/UnregisterAllModels, DoRetranslate). Sibling components therefore share large near-identical structural boilerplate that the token detector scores as verbatim cross-file duplication. This is framework idiom, not copied-and-edited logic.
ImagingTools/AcfSln	28335c8cbbb3	FP	other		Include/icmpstr/CVisualRegistryEditorComp.cpp:893-932 vs 849-888 (and other within-file verbatim pairs)		Verification artifact: the hint's BASE/ADDED line ranges are relative to the audited commit snapshot, not current HEAD. Reading those line numbers on the working tree shows unrelated code (a selection-change handler vs component init/teardown). The 'verbatim' within-file pairs cannot be confirmed against HEAD and many are likely the same lifecycle boilerplate appearing in multiple methods.
Josh-Archer/ESP32-Smart-Monitor	top	FP	idiom		src/main.cpp (within-file)		ESP32 sketch: one mid-low (0.51) within-file block in setup/loop wiring. Idiom.
Kilynho/cpu6502	ae48ac939e4f	FP	other		src/cpu/cpu.cpp vs (deleted) cpu.cpp; src/main/cpu_demo.cpp vs (deleted) main_6502.cpp		Release v2.0.0 reorganized flat root files into src/cpu/ and src/main/. Root cpu.cpp and main_6502.cpp were deleted; the 2 hits (line 0.14-0.24, very low) are relocated files vs deleted originals.
Krilliac/SparkEngine	00078283011f	FP	idiom		SparkEditor/Source/Panels/DialogueEditorPanel.cpp:705,748,801 (drawList->AddRectFilled node-frame calls)		Beyond the genuine 4-function copy reported above, the SHORTER 3-6 line ImGui drawing idioms (AddRectFilled/AddRect with IM_COL32 + 6.0f*m_canvasZoom) recur across RenderNode and every per-type renderer; with a small window these fire as standalone clones even where only the canonical ImGui call pattern is shared, not a copied block.
Krilliac/SparkEngine	e12cdf2076ae	FP	idiom		SparkEngine/Source/Engine/Destruction/DestructionSystem.h:34-49 <=> SparkEngine/Source/Engine/Replay/ReplaySystem.h:41-56		Same shared header prologue as above (Platform.h + SPARK_PLATFORM_WINDOWS DirectXMath guard + std includes + 'namespace Spark {' + a '// ====' banner). Two freshly-added system headers from the same generator template share the identical opening boilerplate; no actual logic is duplicated.
Krilliac/SparkEngine	8175be5d610b	FP	idiom		SparkEngine/Source/Graphics/DynamicQualityTypes.h:1-23 <=> UpscalingTypes.h:1-23		Matched window is the engine-wide header preamble: '#pragma once' + '#include "../Core/Platform.h"' + '#ifdef SPARK_PLATFORM_WINDOWS / #include <DirectXMath.h> [/ <d3d11.h>] / #endif' + a block of std <string>/<cstdint>/<cmath> includes. Every header in the repo opens this way, so any two headers collide on a 10-15 line window. Not a code chunk.
Krilliac/SparkEngine	00078283011f	TP		partial-edited	SparkEditor/Source/Panels/DialogueEditorPanel.cpp:737-940		RenderNPCLineNode / RenderPlayerChoiceNode / RenderConditionNode / RenderEventNode — four ~50-line per-node-type render functions sharing identical ImGui rect/header/color/label drawing; differ only in node type enum and node dimensions. Real partial-edited chunk copy.
Krilliac/SparkEngine	1547f78a75b4	TP		within-file-chunk	SparkEngine/Source/Engine/OnlineServices/OnlineServices.h:370-485		SteamPlatform / EpicPlatform / ConsolePlatform are three near-identical IOnlinePlatform stub classes; ~22 method bodies each are byte-identical (all return false / {}), only GetPlatformName() return-string differs. Classic AI triple copy-paste of a null-object stub.
Krilliac/SparkEngine	5947c7f5da0a	TP		within-file-chunk	SparkEngine/Source/Graphics/UpscalingShaders.h:285-313 vs 523-550		Ironically in a commit titled 'reduce code duplication': CatmullRomWeight() and SampleHistoryCatmullRom() HLSL helpers are copy-pasted verbatim between two embedded raw-string shaders (kTemporalUpscaling_CS and kSparkSR_CS). Real dup, but lives inside C++ raw string literals.
Lovuwer/FluffyApp-RE	a773a4511676cc3e0494ece50bff7a3a17d39b09	FP	idiom		src/SDK/src/Detection/VM/VMInterpreter.cpp:345-444		Bytecode-интерпретатор: case ADD/SUB/MUL/XOR/AND/OR/SHL/SHR/CMP_* — каждый блок 5 строк (uint64_t b,a; if(!pop(b)||!pop(a)) return false; if(!push(a OP b)) return false; break;), различие — один символ оператора. Также READ_SAFE_8/4/2/1. Детектор видит десятки near within-file пар line~0.9 — но это намеренно минимальные диспетч-кейсы, не дефект
Lovuwer/FluffyApp-RE	73618e985be5e7696cebce211fa51cc36522f2a6	FP	data-table		src/SDK/src/Internal/OverlayVerifier.cpp:92-149		Initialize() трижды заполняет struct OverlayHookPattern (discord_/steam_/nvidia_pattern): .vendor=..., .expected_hook_modules={d3d9.dll,...}, .expected_hook_functions={Present,EndScene,...}, push_back. Это декларативная data-таблица с разными данными, а не копия логики; детектор видит within-file повтор формы заполнения
Lovuwer/FluffyApp-RE	8e9502d5e0a120081c3b278b18a38601156230bb	FP	idiom		src/SDK/src/Internal/RedundantAntiDebug.cpp:84-127		QuickCheck()/FullCheck() в AntiDebugAlternativeImpl повторяют конструкцию ViolationEvent: event.type=ViolationType::DebuggerAttached; event.severity=Severity::High; event.timestamp=duration_cast<ms>(steady_clock::now().time_since_epoch()).count(); — 3-4 строки populate-объекта плюс одинаковый chrono-timestamp идиом, встречающийся и в RequestSigner/IntegrityValidator (getCurrentTimestamp/GetCurrentTimeMs)
Lovuwer/FluffyApp-RE	0cbeca15005d8845e13f611e672dbe18b8fc902f	FP	idiom		src/SDK/src/Network/PacketEncryption.cpp:107-264		OpenSSL EVP-идиома: Encrypt() и Decrypt() обе делают EVP_CIPHER_CTX_new -> Init_ex(EVP_aes_256_gcm) -> Update -> Final/ctrl(GCM_TAG) -> CIPHER_CTX_free, и внутри каждой 3-4 раза повторяется идентичный cleanup-блок 'if (ret != 1) { EVP_CIPHER_CTX_free(ctx); return ErrorCode::CryptoError; }'. Детектор ловит и within-file (повтор cleanup) и cross-pair (Encrypt~Decrypt) на высоком w
Lovuwer/FluffyApp-RE	07441422f15dfdc54d77eacf646a364941d73047	TP		within-file-chunk	src/Core/Network/RequestSigner.cpp:36-136		verify() переиспользует целиком середину sign(): buildSigningString()+failure-check + конструктор Crypto::HMAC(m_key,SHA256) + hmac.compute(signingString) + failure-check — скопировано из sign(), id macResult->expectedMacResult, дальше дописана constant-time сверка
MaximumTrainer/MaximumTrainer_Redux	82405ecd64499130debe66eb12129aca0394ad1b	TP		cross-file-chunk	src/persistence/db/selfloops_service.cpp:20-57		crc32buf + gzipCompress (RFC1952 gzip header/footer wrapping around qCompress, remove(0,6)/chop(4)) reimplemented with renamed ids; same algorithm already lives in Util::zipFileHelperConvertToGzip + Util::crc32buf (src/app/util.cpp:818-834). Own code comment admits 'same algorithm as Util::zipFileHelperConvertToGzip'. Should reuse Util, not copy.
MaximumTrainer/MaximumTrainer_Redux	21a923f79c05961d7a1d814b6906bcbfe1530e91	TP		within-file-chunk	src/ui/dialoglogin.cpp:604-651		slotFinishedIntervalsIcuAthlete (604-625) vs slotFinishedIntervalsIcuSettings (630-651): near-verbatim ~22-line reply handlers; only the member name (replyIntervalsIcuAthlete/Settings), one parseJson* call and a log string differ. Pending-counter + loginWithIntervalsIcuIdentity tail identical. Should be one parameterized handler.
NamecoinGithub/LLL-TAO	789008f0fb6b	FP	idiom		src/TAO/API/commands/mining/start-pool.cpp:1-30 vs get-poolstats.cpp:1-30 (and siblings)		API-command template boilerplate: every TAO::API Mining::Xxx endpoint file shares the identical Nexus license banner, the same include block, and the same skeleton namespace TAO::API { encoding::json Mining::Xxx(const encoding::json& jParams, const bool fHelp){ if(fHelp) return std::string("...help..."); ... }. Cross-file detector matches banner+includes+help-prologue that the project mandates for every command, not copied business logic
NamecoinGithub/LLL-TAO	234d9f218f02	FP	idiom		tests/unit/LLP/concurrency_testing.cpp:179-199 vs 232-247		Concurrency-test scaffolding: every Catch2 SECTION wraps its work in the identical frame for(int t=0;t<nThreads;++t){threads.emplace_back([&]{ for(...) {BODY} });} for(auto& thread:threads) thread.join(); REQUIRE(...). Token detector latches onto the spawn/emplace_back/join boilerplate; only the lambda BODY (the unit under test) actually differs, so the matched span is the test harness, not real logic duplication
NamecoinGithub/LLL-TAO	cc00fc8be176	TP		within-file-chunk	src/LLP/node_session_registry.cpp:229-238 (and clone at 484-494)		Dual-write 'sync liveness flags to SessionStore' block copy-pasted: verbatim comment + SessionStore::Get().Transform(hashKeyID,[&](const CanonicalSession& cs){...}) lambda, body partially edited (block 1 sets all 3 flags from entry; block 2 conditionally sets one flag by lane)
NamecoinGithub/LLL-TAO	c2f451cb9d77	TP		within-file-chunk	src/LLP/session_store.cpp:322-360		Secondary-index lookups LookupBySessionId/ByAddress/ByGenesis/ByIP are 4 cloned bodies; only the mapXToKey index name and param type/name differ: auto optKey=mapXToKey.Get(x); if(!optKey) return nullopt; return mapSessions.Get(optKey.value()); reducible to one template helper
NamecoinGithub/NexusMiner	413929a6fe69	FP	idiom		src/node_session/node_session_test.cpp:307,352,391,422,477,512,539,599,655,734		every TEST setup repeats the identical fixture-construction scaffold (make_node_session(io_context, config, socket, "TEST_X") preceded by io_context/config/socket boilerplate). Line/token detector sees these near-duplicate sequential setup blocks as within-file copies, but it is standard per-test harness setup, not logic drift
NamecoinGithub/NexusMiner	34f6aa4a0d16	FP	idiom		src/protocol/src/protocol/solo.cpp:request_and_queue_get_block call sites ~47,61,77,101,117,133,147,163,252,296,324,350		after this commit factored the helper, the many request_and_queue_get_block(connection, <Reason>, "[Solo ...] GET_BLOCK") call sites are near-identical 3-arg invocations differing only by enum + log string. A token detector flags them as repeated chunks, but they are intentional single-line helper calls (the de-dup target), not copy-paste
NamecoinGithub/NexusMiner	8990c848495f	TP		partial-edited	deserialize_block_header Tritium branch ~96-102 vs Legacy branch ~114-120		hashPrevBlock/hashMerkleRoot full-hash read sequence + identical numbered comments duplicated across Tritium and Legacy branches
NamecoinGithub/NexusMiner	9a5407cc23c6	TP		within-file-chunk	src/cpu/src/cpu/worker_hash.cpp:run()~102-145 vs difficulty_check()~217-260		Skein->Keccak compute+validate sequence (calculateHash/getHash/validate_skein_output/NexusKeccak/validate_keccak_output + identical warn-log idioms) copy-pasted from run() loop into difficulty_check()
NamecoinGithub/NexusMiner	8990c848495f	TP		within-file-chunk	src/protocol block.hpp GetHashPrevBlock256() vs GetHashMerkleRoot256()		two compat helpers identical body (GetBytes->first 32->SetBytes), differ only in member name + comment; should be one parameterized helper
NamecoinGithub/NexusMiner	34f6aa4a0d16	TP		within-file-chunk	src/protocol/src/protocol/solo.cpp:on_block_accepted ~2300-2320 vs on_block_rejected ~2472-2492		get_work->retry->queue_payload+mark_get_block_pending bodies are mirror copies; differ only in GetBlockReason enum and 'Accepted-block'/'Rejected-block' log string. Same commit factored other GET_BLOCK sites into request_and_queue_get_block helper but left these two handlers duplicated
Ninnh-temp/DSA	top	FP	idiom		DSA_AVL_tree.cpp (within-file)		Data-structures exercise: AVL left-rotate vs right-rotate are mirror-image by definition (0.76 line-sim). Symmetric algorithm, not copypaste.
OzCog/cogutil	top	FP	whole-file		opencog/util/*.h, *.c (within-file)		Fork of opencog/cogutil; opencog/util/** is upstream code. The within-file hits are short adjacent template/utility blocks (algorithm.h 158-161 vs 165-168, numeric.h overloads) -- idiomatic overload families in upstream, not authored duplication by the forker.
ReZorg/dsstne	914d1cbc36dd	FP	whole-file		src/amazon/dsstne/engine/NN*.cpp (within-file)		The repo is a fork of Amazon DSSTNE (src/amazon/dsstne/**) -- a vendored deep-learning engine, not code authored by the repo owner. The 28 within-file hits sit entirely in that upstream tree (NNNetwork.cpp, NNTypes.cpp, NNWeight.cpp, NNLayer.cpp). Spot-checking the reported pair NNNetwork.cpp:4143-4192 vs 3593-3642 shows non-matching content (MPI ring-reduce vs JSON layer parsing), so the high w-score also reflects noisy offset matching on a large file.
Scynode/PhantomFirmware	c2e2089	FP	other		src/mech/*.cpp, src/ble/*.cpp, src/app/*.cpp vs (deleted) src/scultpureMode.cpp, src/BLE.cpp, src/main.cpp		Commit c2e2089 'Create src/app/ module and remove original monolithic source files' decomposed three huge monolith files (scultpureMode.cpp, BLE.cpp, main.cpp) into per-subsystem files under src/mech, src/ble, src/app, src/chess, src/sensors. The 37 reported within/cross-file hits are near-100%% similar because the code was MOVED, not duplicated: the BASE side (monolith) was deleted in the same change. No live duplicate pair exists in the current tree.
TheOriginalBytePlayer/ozz-animationCal3DWrapper	top	FP	other		test/options/options_tests.cc, options_registration*_tests.cc		Repo wraps ozz-animation (vendored) with a Cal3D adapter; the hits are in ozz's own test/options/ suite -- parametrized registration tests that repeat by construction, and vendored upstream tests at that.
Tsoympet/PantheonChain	8c50c82f2b159e11633ba8343a26bcc61ca92824	FP	idiom		layer2/plasma/plasma_chain.cpp:42-49		GetBlock (42-49) vs GetBatch in optimistic_rollup are the canonical find-in-map accessor: `auto it=map.find(k); if(it==map.end()) return nullopt; return it->second;`. Five lines, structurally identical because it is the standard std::optional map-lookup idiom, not copied business logic.
Tsoympet/PantheonChain	4b2911ec79ad4782d216770f73a4373a41b6aa04	FP	idiom		tests/unit/governance/test_staking.cpp:10		the 1-line test helper `static std::vector<uint8_t> Addr(uint8_t b){return std::vector<uint8_t>(32,b);}` plus the per-test scaffolding (std::cout<<"Test: ..."; assert(...); std::cout<<" \u2713 Passed") are duplicated identically across test_staking/test_treasury/test_emergency/test_eventlog/test_fee_router. Detector flags it as cross-file dup, but it is shared trivial test boilerplate, not transplanted logic.
Tsoympet/PantheonChain	de2f54413e583130a66544b60ab6dd3eea91a850	TP		cross-file-chunk	bridge/l1_l2/l1_l2_bridge.cpp:31-40		static helper decode_amount_from_payload() added verbatim to both l1_l2_bridge.cpp:31-40 and l2_l3_bridge.cpp:29-38 in the same commit; make_nonce_key/sha256d_stub already duplicated across the two bridge files
Tsoympet/PantheonChain	6e91579a2427def952af303df77981c3c7ade89c	TP		within-file-chunk	clients/desktop/src/rpc_client.cpp:300-314		stakeTokens (300-306) and unstakeTokens (308-314) verbatim copy except RPC method literal staking/stake vs staking/unstake; the handler branches 215-218 / 219-222 are the same edited-copy pair
Tsoympet/PantheonChain	8c50c82f2b159e11633ba8343a26bcc61ca92824	TP		cross-file-chunk	layer2/plasma/plasma_chain.cpp:51-67		AddTransaction (basic-validation then pending_transactions_.push_back) copied between plasma_chain.cpp:51-67 and optimistic_rollup.cpp:53-69 with only the struct field names renamed (sender/recipient vs from/to)
UofUEpiBio/epiworld	top	FP	generated		epiworld.hpp (within-file) and include/epiworld/*.hpp vs epiworld.hpp		epiworld.hpp is an AMALGAMATED single-header build concatenated from the include/epiworld/*.hpp sources. So (a) within-file hits are repeated template/model boilerplate inside the amalgamation and (b) cross-file hits are header sources vs their own concatenated copy in epiworld.hpp -- a generated artifact, not authored duplication.
aapokaapo/JoyShockMapper-systemd	top	FP	other		JoyShockMapper/src/win32/InputHelpers.cpp vs (deleted) JoyShockMapper/include/inputHelpers.cpp		inputHelpers.cpp was moved/renamed from include/ to src/win32/InputHelpers.cpp. BASE-side include/inputHelpers.cpp no longer exists; the single hit (line=0.27) is the moved file vs its deleted original.
adecarolis/wfweb	953f816e4ea75ae8a6ca929796d1adc656ba3362	TP		within-file-chunk	src/webserver.cpp notifyFreedvReporterStatus vs notifyPskReporterStatus		second-reporter copy-and-rename: same skeleton State s = ptr ? ptr->state() : Disconnected; QJsonObject notify; notify[type/enabled/state]=...; sendJsonToAll(notify). Only reporter pointer, enabled flag and the type string are renamed (freedv->psk)
adecarolis/wfweb	bb79820e8c64e4367bb87a2b776bf5adea9db792	TP		within-file-chunk	tools/virtualrig/src/civemulator.cpp setSMeterFromPeak vs setTxMeterFromPeak		log-scale meter mapping copied: identical 20*log10(peak/32767) dBFS curve, clamp to -60 dB, linear scale-and-clamp, then identical unsolicited-frame emit tail (pl.append 0x15, u16ToBcd2, emit replyFrame(buildFrame(ctlCiv,pl))); only scale constant (241 vs 213) and target meter field differ
adecarolis/wfweb	737b17f662c59551d464b6e74cfd994021c78231	TP		within-file-chunk	tools/virtualrig/src/extaudio.cpp:69-128 vs 130-179		ExtAudio::loadNullSink and loadRemapSource are a copy-edited pair: identical safeDesc NBSP-substitution + props prefix, identical runPactl call, identical rc!=0 error path and parse-module-index-with-double-error-return tail; only the load-module name, the args list and a couple of log strings differ
aethersdr/AetherSDR	081cb1b2	FP	data-table		src/core/ClientEq.cpp:~147-166 vs ~259-279		Two copies of the RBJ Audio-EQ-Cookbook biquad-coefficient computation (Peak/LowShelf/HighShelf cases: b0=1+alpha*A, twoSqrtAalpha=2*sqrtA*alpha, etc.). One is the design-time coefficient path, the other the cached-runtime path. The line/token detector sees ~20 identical algebraic-assignment lines and flags a chunk clone, but these are a canonical published DSP formula table, not refactorable application logic (extracting it would hurt the audio hot path).
aethersdr/AetherSDR	477f1eb5	FP	idiom		src/gui/MainWindow.cpp (Qt connect(...) blocks, e.g. 6065-6079 vs 2932-2947)		Beyond the genuine 3x AetherDspDialog clone (counted as confirmed), the line-window detector ALSO fires on individual runs of the Qt connect(obj,&Sig,this,[this](T v){ QMetaObject::invokeMethod(m_audio,[this,v](){ m_audio->setX(v); }); }); idiom that repeats per-signal within a single wiring site. These per-signal repeats are mechanical Qt signal-slot boilerplate (one line per parameter), not a copied logic chunk.
aethersdr/AetherSDR	aedcd11a	TP		within-file-chunk	src/core/ThemeManager.cpp:~945-964 (pre-existing scope->tokens) vs ~1106-1125 (new m_tokens)		feat #3176 duplicated the existing per-scope QVariant->QJsonValue token serializer (QString/Int/Double/Bool/gradMetaId ThemeGradient->QJsonObject linear/radial-gradient + stops) into a new global m_tokens serializer; bodies identical except the iterated container. Original block introduced 030d82d2, second copy is net-new in aedcd11a (1 added 'radial-gradient', 1 added gradMetaId branch)
aethersdr/AetherSDR	477f1eb5	TP		within-file-chunk	src/gui/MainWindow.cpp (3 AetherDspDialog open sites)		feat #796 added the AetherDspDialog raise-or-create + ~25 connect(dlg,&AetherDspDialog::nrXChanged,...QMetaObject::invokeMethod(m_audio,...setNrX)) signal-wiring block 3 times in one commit (3x 'new AetherDspDialog', 3x nr4ReductionChanged, 44 added invokeMethod(m_audio,...) lines); later a 4th copy was layered on
aethersdr/AetherSDR	ca609c66	TP		within-file-chunk	src/gui/MainWindow.cpp (both confirmClientSlotAvailability overloads, RadioInfo + WanRadioInfo)		feat #2488 added the same ~22-line ConnectedStationsDialog build block (RadioMeta meta + sdClients loop building ConnectedStationsDialog::Client + dialog.exec + selectedHandle) verbatim into BOTH confirmClientSlotAvailability overloads in one commit (2x 'ConnectedStationsDialog::Client sc;', 2x 'sdClients.append(sc);'); differs only by the gate condition (multiFlexEnabled vs licensedClients<=1)
aethersdr/AetherSDR	37411c6d	TP		cross-file-chunk	src/gui/Strip{Comp,Gate,Eq,Tube,Pudu}Panel.cpp (geometry-persistence + window-event tail)		Channel-Strip PR #2307 created 5 sibling Strip*Panel classes in one commit; saveGeometryToSettings/restoreGeometryFromSettings + closeEvent/moveEvent/resizeEvent/showEvent/hideEvent block is copy-pasted across all siblings, edited only by class name and the '<Panel>Geometry' settings key string (partial-edited siblings)
albpara/DMDDelorean	top	FP	idiom		src/main.cpp (within-file)		Firmware sketch: repeated config/menu-handling blocks (0.45-0.54). Idiom.
alexandrosk0/Smatchet	b6f3511660935125adc382ca72546bff1a659426	FP	idiom		Plugins/Whisper/WhisperConsentGate.cpp:18-90		Three predicate functions (CanCaptureMic / CanDownloadModel / CanCallCloudApi) share the identical platform-guard scaffold: '#if defined(SMATCHET_WITH_WHISPER) ... if(!cfg.WhisperEnabled) return false; ... #else (void)args; return false; #endif'. The shared lines are the #if/#else/#endif compile-guard plus the first guard clause; the substantive logic differs per predicate. A line-based detector keys on the repeated guard shell.
alexandrosk0/Smatchet	5b740e92fedcf5f6fa70de8e834f7819f2079fa4	FP	idiom		Source_Core/src/AppController_LuaBindings.cpp:624-660		Family of four near-identical AppController::LuaRegisterFieldDisplayCached*Bind / Unregister*Bind methods (byId vs byName, register vs unregister). They are a copy-of-existing-family 'Cached variant' (renamed member map fieldDisplayCachedProviders_ + an added luaProviderGen_.fetch_add(1)). Each body is only 3-6 lines (empty-check, map assign/erase, gen bump) — a setter/registration delegation idiom. A token-chunk detector that lowered its minimum span would flag this whole family as N^2 self-similar boilerplate, generating noise on every CRUD-pair (add/remove, byId/byName) in the codebase.
alphaonex86/CatchChallenger	ea5021f64826	FP	whole-file		general/tinyXML2/tinyxml2.cpp vs (deleted) tinyxml2b.cpp/tinyxml2c.cpp		tinyXML2 is a vendored third-party XML library. During an edit it existed transiently as tinyxml2.cpp + tinyxml2b.cpp + tinyxml2c.cpp (a manual split of one amalgamated file); the current tree has only tinyxml2.cpp. The verbatim cross-file hits are vendored code reassembled from its own temporary split.
alphaonex86/CatchChallenger	ea5021f64826	FP	other		server/cli/db/EventLoopPostgresql.cpp vs (deleted) server/epoll/db/EpollPostgresql.cpp; server/base/BaseServer/* vs (deleted) server/base/*; client/libqtcatchchallenger/maprender/* vs (deleted) client/qtmaprender/*		A sweeping rename/relocation: the Epoll* server backend was renamed to EventLoop* and moved cli/, BaseServer sources moved into a BaseServer/ subdir, and qtmaprender/ was relocated under libqtcatchchallenger/maprender/. The source paths (server/epoll/, server/base/BaseServer2.cpp, client/qtmaprender/) no longer exist in the tree. These are file moves/renames, not maintained duplicate copies.
asklar/lvt	top	FP	idiom		src/target.cpp vs src/providers/win32_provider.cpp		Single small cross-file block (line=0.71) sharing a provider-interface call pattern (open/query/close). Interface-implementation boilerplate, not copied-and-edited logic.
ayutaz/piper-plus	978e5a723ea7	FP	idiom		src/cpp/piper_plus_c_api.cpp catch-cascade (3-arm try/catch repeated 9x)		A C-ABI boundary legitimately requires every exported function to translate C++ exceptions into status codes, so the catch(runtime_error)/catch(exception)/catch(...) tail is unavoidable per-function boilerplate, not deliberate logic duplication. A token-only #056 pass scores it ~1.0 because the 9-line block is byte-identical, producing a swarm of intra-file hits that drown the real signal.
ayutaz/piper-plus	5f2a5a78fde2	FP	idiom		src/cpp/spanish_phonemize.cpp:35-80 (isVowel/isStressAccent/accentBase helpers) vs other *_phonemize.cpp		Per-language character-classification helpers (isVowel switch, accent->base map, isPunctuation) share the same shape because they all classify char32_t codepoints, but the actual codepoint sets differ per language (es accents vs pt nasals/circumflex). Structural-similarity (AST/token) sees near-identical switch skeletons with different case labels and flags them as clones, when they are genuinely distinct data.
ayutaz/piper-plus	1e2b6df4cd16	FP	whole-file		third_party/.../piper_phonemize/cpp/src/uni_algo.h (72018 lines) and bundled cpp/src/*		Commit #189 vendored the entire piper-phonemize C++ source (uni_algo.h is the upstream uni-algo Unicode library single-header) into a packaging subtree. A churn-based detector ranks this as the fattest C++ commit (73k lines) and any cross-file clone scan would match these against upstream copies, but it is a vendored dependency import, not authored duplication.
ayutaz/piper-plus	c6db62e0e15e	TP		within-file-chunk	src/cpp/piper_plus_c_api.cpp (zh-en additions, +147 lines)		later commit extends the same C-API by pasting 8 more copies of the NULL-check + catch-cascade boilerplate for the new code-switching entry points; copypaste pattern grows over time rather than being factored into a guard helper/macro
ayutaz/piper-plus	978e5a723ea7	TP		within-file-chunk	src/cpp/piper_plus_c_api.cpp:388-470 and ~9 sibling entry points		C-ABI entry functions repeat an identical NULL-safety prologue (engine/text/out-param checks + set_error) and an identical 3-arm catch cascade (runtime_error busy-check / std::exception / catch-all -> PIPER_PLUS_ERR); catch block appears 9x verbatim in the file
